Date,Open,High,Low,Close,Adj_Close,Volume
4/30/2020,148.460007,150.429993,147.160004,150.039993,147.000412,14829600
5/1/2020,149.619995,149.669998,146.789993,148.289993,145.285873,7309000
5/4/2020,148.770004,149.080002,147.089996,148.270004,145.266281,7198400
5/5/2020,149,150.779999,148.639999,149.5,146.471359,6562300
5/6/2020,150,150.320007,148.039993,148.080002,145.080124,6191600
5/7/2020,149.369995,149.529999,147.130005,147.589996,144.600052,5570500
5/8/2020,148.919998,149.179993,147.889999,148.699997,145.687561,4712100
5/11/2020,148.449997,150.100006,148.119995,149.110001,146.089264,5887500
5/12/2020,150.100006,150.339996,147.029999,147.139999,144.159164,7039200
5/13/2020,146.080002,148.949997,146.009995,147.130005,144.149368,6970500
5/14/2020,145.389999,147.759995,144.259995,147.639999,144.649033,6871400
5/15/2020,147.869995,150.479996,145.660004,150.440002,147.392319,10340400
5/18/2020,152.490005,153.619995,150.460007,150.520004,147.470703,7390000
5/19/2020,150.100006,151.100006,148.399994,149.020004,146.001068,6107300
5/20/2020,149.75,150.389999,147.270004,147.679993,144.688217,5713400
5/21/2020,148.5,148.5,145.820007,146.710007,143.7379,6487300
5/22/2020,144.570007,146.289993,144.059998,144.369995,142.425781,6140900
5/26/2020,146.190002,146.440002,144.300003,144.559998,142.61322,7072300
5/27/2020,144.320007,145.25,143.009995,144.889999,142.938782,7950000
5/28/2020,146.020004,148.110001,145.809998,146.970001,144.990768,6189600
5/29/2020,147.960007,149.350006,145.330002,148.75,146.746811,8505200
6/1/2020,147.289993,148.339996,146.009995,147.190002,145.207809,6141800
6/2/2020,147.059998,148.350006,146.119995,148.25,146.25354,6078300
6/3/2020,148.520004,149.139999,146.449997,148.649994,146.648148,6339500
6/4/2020,146.800003,148.369995,145.580002,146.729996,144.753998,8170500
6/5/2020,147.690002,149.639999,146.600006,147.300003,145.31633,9725400
6/8/2020,145.880005,147.610001,145.740005,146.770004,144.793472,7555600
6/9/2020,148.25,149.330002,145.649994,145.960007,143.994385,8247200
6/10/2020,146.600006,150.029999,146.600006,147.800003,145.809601,10137100
6/11/2020,148.580002,149.169998,140.75,140.869995,138.972916,11913300
6/12/2020,142.839996,143.710007,140.279999,142.149994,140.235687,8687400
6/15/2020,141,142.399994,139.389999,141.25,139.347809,8649600
6/16/2020,144.089996,145.419998,142.770004,144.460007,142.514587,7579100
6/17/2020,144.899994,145.419998,143.470001,144.020004,142.080505,5100100
6/18/2020,142.520004,144.119995,141.869995,143.410004,141.478729,4797400
6/19/2020,145.789993,145.880005,143.25,143.830002,141.893066,12206900
6/22/2020,143.470001,143.660004,142.029999,143.389999,141.458984,5285600
6/23/2020,143.740005,144.080002,142.679993,142.860001,140.936127,5921600
6/24/2020,141.490005,142.190002,138.720001,139.820007,137.937057,8211200
6/25/2020,140.570007,140.570007,137.539993,139.669998,137.789078,7421200
6/26/2020,139.529999,139.600006,137.020004,137.809998,135.954132,12849700
6/29/2020,138.740005,139.699997,137.979996,139.039993,137.167557,5309800
6/30/2020,139.399994,141.020004,137.839996,140.630005,138.73616,7738300
7/1/2020,140.690002,141.389999,140.059998,140.380005,138.489532,6174800
